"","x","y","PC(38:1)","PA(44:0)","PC(38:0)"
"794",33,19,2,1,1
"795",34,19,2,1,1
"796",35,19,1,1,1
"797",36,19,2,1,1
"798",37,19,2,1,1
"799",38,19,2,1,1
"800",39,19,2,2,2
"801",0,20,1,1,1
"802",1,20,1,1,1
"803",2,20,1,1,1
"804",3,20,1,1,1
"805",4,20,1,1,1
"806",5,20,1,1,1
"807",6,20,1,1,1
"808",7,20,1,1,1
"809",8,20,1,1,1
"810",9,20,1,1,1
"811",10,20,1,1,2
"812",11,20,1,1,2
"813",12,20,1,1,1
"814",13,20,1,1,2
"815",14,20,1,1,2
"816",15,20,1,1,1
"817",16,20,1,1,1
"818",17,20,1,1,1
"819",18,20,1,1,1
"820",19,20,1,1,1
"821",20,20,1,1,2
"822",21,20,1,1,2
"823",22,20,1,1,1
"824",23,20,1,1,1
"825",24,20,1,1,1
"826",25,20,1,1,1
"827",26,20,1,1,1
"828",27,20,1,1,2
"829",28,20,1,1,2
"830",29,20,1,1,1
"831",30,20,1,1,1
"832",31,20,1,1,1
"833",32,20,1,1,1
"834",33,20,1,1,1
"835",34,20,1,1,1
"836",35,20,1,1,1
"837",36,20,1,1,1
"838",37,20,1,1,1
"839",38,20,1,1,1
"840",39,20,1,1,1
"841",0,21,1,1,1
"842",1,21,1,1,1
"843",2,21,1,1,1
"844",3,21,1,1,1
"845",4,21,1,1,1
"846",5,21,1,1,1
"847",6,21,1,1,1
"848",7,21,1,1,1
"849",8,21,1,1,1
"850",9,21,1,1,2
"851",10,21,1,1,1
"852",11,21,1,1,1
"853",12,21,1,1,1
"854",13,21,1,1,1
"855",14,21,1,1,1
"856",15,21,1,1,1
"857",16,21,1,1,1
"858",17,21,1,1,1
"859",18,21,1,1,1
"860",19,21,1,1,1
"861",20,21,1,1,2
"862",21,21,1,1,2
"863",22,21,1,1,2
"864",23,21,1,1,1
"865",24,21,1,1,1
"866",25,21,1,1,1
"867",26,21,1,1,1
"868",27,21,1,1,1
"869",28,21,1,1,2
"870",29,21,1,1,1
"871",30,21,1,1,1
"872",31,21,1,1,1
"873",32,21,1,1,1
"874",33,21,1,1,1
"875",34,21,1,1,1
"876",35,21,1,1,1
"877",36,21,1,1,1
"878",37,21,1,1,1
"879",38,21,1,1,1
"880",39,21,1,1,1
"881",0,22,1,1,1
"882",1,22,1,1,1
"883",2,22,1,1,1
"884",3,22,1,1,1
"885",4,22,1,1,1
"886",5,22,1,1,1
"887",6,22,1,1,1
"888",7,22,1,1,1
"889",8,22,1,1,1
"890",9,22,1,1,1
"891",10,22,1,1,1
"892",11,22,1,1,1
"893",12,22,1,1,1
"894",13,22,1,1,1
"895",14,22,1,1,1
"896",15,22,1,1,1
"897",16,22,1,1,1
"898",17,22,1,2,2
"899",18,22,1,1,1
"900",19,22,1,1,1
"901",20,22,1,1,2
"902",21,22,1,1,2
"903",22,22,1,1,1
"904",23,22,1,1,1
"905",24,22,1,1,1
"906",25,22,1,1,1
"907",26,22,1,1,1
"908",27,22,1,1,1
"909",28,22,1,1,2
"910",29,22,1,1,2
"911",30,22,1,1,1
"912",31,22,1,1,1
"913",32,22,1,1,1
"914",33,22,1,1,1
"915",34,22,1,1,1
"916",35,22,1,1,1
"917",36,22,1,1,1
"918",37,22,1,1,1
"919",38,22,1,1,1
"920",39,22,1,2,2
"921",0,23,1,1,1
"922",1,23,1,1,1
"923",2,23,1,1,1
"924",3,23,1,1,1
"925",4,23,1,1,1
"926",5,23,1,1,1
"927",6,23,1,1,1
"928",7,23,1,1,1
"929",8,23,1,1,1
"930",9,23,1,1,1
"931",10,23,1,1,1
"932",11,23,1,1,1
"933",12,23,1,1,2
"934",13,23,1,1,1
"935",14,23,1,1,1
"936",15,23,1,1,2
"937",16,23,1,2,2
"938",17,23,1,1,1
"939",18,23,1,1,1
"940",19,23,1,1,1
"941",20,23,1,1,1
"942",21,23,1,1,2
"943",22,23,1,1,2
"944",23,23,1,1,1
"945",24,23,1,1,1
"946",25,23,1,1,1
"947",26,23,1,1,1
"948",27,23,1,1,1
"949",28,23,1,1,2
"950",29,23,1,1,1
"951",30,23,1,1,1
